disc_conv1 - mean: -0.028589, std: 0.160787, max: 0.506577, min: -0.625164
disc_conv2 - mean: 0.001950, std: 0.078554, max: 0.326339, min: -0.288254
disc_conv1 - mean: -0.027879, std: 0.160081, max: 0.557026, min: -0.629187
disc_conv2 - mean: 0.004341, std: 0.081391, max: 0.351797, min: -0.296631
disc_conv1 - mean: -0.027391, std: 0.161665, max: 0.502471, min: -0.624106
disc_conv2 - mean: 0.008039, std: 0.088505, max: 0.362677, min: -0.301066
disc_conv1 - mean: -0.029543, std: 0.167911, max: 0.514889, min: -0.634212
disc_conv2 - mean: 0.013791, std: 0.100918, max: 0.380848, min: -0.314596
disc_conv1 - mean: -0.028626, std: 0.168408, max: 0.507727, min: -0.642743
disc_conv2 - mean: 0.018534, std: 0.110115, max: 0.403687, min: -0.335435
disc_conv1 - mean: -0.028410, std: 0.170484, max: 0.518839, min: -0.636790
disc_conv2 - mean: 0.023005, std: 0.118831, max: 0.429915, min: -0.352158
disc_conv1 - mean: -0.029225, std: 0.173118, max: 0.521819, min: -0.635586
disc_conv2 - mean: 0.027416, std: 0.126395, max: 0.438723, min: -0.342505
disc_conv1 - mean: -0.028753, std: 0.172399, max: 0.552458, min: -0.642406
disc_conv2 - mean: 0.029694, std: 0.129268, max: 0.436428, min: -0.344190
disc_conv1 - mean: -0.028013, std: 0.172024, max: 0.520805, min: -0.634812
disc_conv2 - mean: 0.030632, std: 0.130567, max: 0.444105, min: -0.352849
disc_conv1 - mean: -0.028403, std: 0.173279, max: 0.527618, min: -0.633425
disc_conv2 - mean: 0.031854, std: 0.131957, max: 0.432534, min: -0.343767
disc_conv1 - mean: -0.029141, std: 0.174960, max: 0.522821, min: -0.630604
disc_conv2 - mean: 0.033042, std: 0.132726, max: 0.439998, min: -0.369048
disc_conv1 - mean: -0.028783, std: 0.173185, max: 0.517367, min: -0.637711
disc_conv2 - mean: 0.033027, std: 0.130371, max: 0.429761, min: -0.340927
disc_conv1 - mean: -0.026972, std: 0.170108, max: 0.535175, min: -0.636830
disc_conv2 - mean: 0.032307, std: 0.128139, max: 0.435129, min: -0.335078
disc_conv1 - mean: -0.027486, std: 0.171771, max: 0.575232, min: -0.630152
disc_conv2 - mean: 0.034169, std: 0.129231, max: 0.436423, min: -0.323002
disc_conv1 - mean: -0.026498, std: 0.170348, max: 0.532231, min: -0.632879
disc_conv2 - mean: 0.034131, std: 0.126986, max: 0.425329, min: -0.344800
disc_conv1 - mean: -0.026013, std: 0.169871, max: 0.521676, min: -0.637599
disc_conv2 - mean: 0.035200, std: 0.125613, max: 0.426627, min: -0.317699
disc_conv1 - mean: -0.026305, std: 0.171251, max: 0.503461, min: -0.629279
disc_conv2 - mean: 0.037913, std: 0.126139, max: 0.422394, min: -0.314085
disc_conv1 - mean: -0.023926, std: 0.168334, max: 0.573312, min: -0.665007
disc_conv2 - mean: 0.037628, std: 0.122663, max: 0.439434, min: -0.339386
disc_conv1 - mean: -0.022700, std: 0.167016, max: 0.518095, min: -0.637257
disc_conv2 - mean: 0.038970, std: 0.120435, max: 0.431916, min: -0.321343
disc_conv1 - mean: -0.021848, std: 0.167016, max: 0.544963, min: -0.626020
disc_conv2 - mean: 0.041169, std: 0.120098, max: 0.429144, min: -0.321538
disc_conv1 - mean: -0.020764, std: 0.167085, max: 0.507193, min: -0.635387
disc_conv2 - mean: 0.043398, std: 0.119243, max: 0.415374, min: -0.341376
disc_conv1 - mean: -0.019800, std: 0.167206, max: 0.514271, min: -0.624120
disc_conv2 - mean: 0.046105, std: 0.118750, max: 0.408676, min: -0.317699
