gen_deconv1 - mean: 0.000693, std: 0.067807, max: 0.401464, min: -0.387318
gen_deconv2 - mean: -0.000550, std: 0.027936, max: 0.173995, min: -0.165182
gen_deconv1 - mean: 0.000523, std: 0.069483, max: 0.430825, min: -0.387760
gen_deconv2 - mean: -0.000589, std: 0.028956, max: 0.169189, min: -0.201013
gen_deconv1 - mean: 0.000328, std: 0.072473, max: 0.414391, min: -0.441981
gen_deconv2 - mean: -0.000647, std: 0.030685, max: 0.192601, min: -0.196463
gen_deconv1 - mean: -0.000130, std: 0.075218, max: 0.426017, min: -0.439234
gen_deconv2 - mean: -0.000717, std: 0.032366, max: 0.230588, min: -0.235561
gen_deconv1 - mean: -0.000584, std: 0.077857, max: 0.464430, min: -0.432603
gen_deconv2 - mean: -0.000768, std: 0.034127, max: 0.234873, min: -0.222947
gen_deconv1 - mean: -0.001058, std: 0.081470, max: 0.432489, min: -0.479665
gen_deconv2 - mean: -0.000797, std: 0.036419, max: 0.256998, min: -0.229185
gen_deconv1 - mean: -0.001695, std: 0.084952, max: 0.458140, min: -0.480459
gen_deconv2 - mean: -0.000839, std: 0.038757, max: 0.273594, min: -0.217085
gen_deconv1 - mean: -0.002451, std: 0.088072, max: 0.561519, min: -0.468810
gen_deconv2 - mean: -0.000858, std: 0.041044, max: 0.291243, min: -0.225557
gen_deconv1 - mean: -0.003419, std: 0.093396, max: 0.477828, min: -0.517055
gen_deconv2 - mean: -0.000927, std: 0.044398, max: 0.319042, min: -0.262185
gen_deconv1 - mean: -0.004305, std: 0.096641, max: 0.488384, min: -0.536091
gen_deconv2 - mean: -0.000968, std: 0.046980, max: 0.330034, min: -0.263239
gen_deconv1 - mean: -0.005330, std: 0.100857, max: 0.504803, min: -0.544751
gen_deconv2 - mean: -0.001004, std: 0.050040, max: 0.365622, min: -0.286919
gen_deconv1 - mean: -0.006335, std: 0.105062, max: 0.539703, min: -0.502047
gen_deconv2 - mean: -0.001089, std: 0.053225, max: 0.358078, min: -0.310812
gen_deconv1 - mean: -0.007417, std: 0.109512, max: 0.543469, min: -0.544276
gen_deconv2 - mean: -0.001211, std: 0.056694, max: 0.368570, min: -0.318652
gen_deconv1 - mean: -0.008686, std: 0.113884, max: 0.524930, min: -0.537593
gen_deconv2 - mean: -0.001331, std: 0.060193, max: 0.384888, min: -0.346640
gen_deconv1 - mean: -0.009893, std: 0.117908, max: 0.619851, min: -0.600110
gen_deconv2 - mean: -0.001393, std: 0.063778, max: 0.426159, min: -0.410047
gen_deconv1 - mean: -0.011364, std: 0.121910, max: 0.603629, min: -0.618600
gen_deconv2 - mean: -0.001422, std: 0.067422, max: 0.429331, min: -0.401841
gen_deconv1 - mean: -0.013239, std: 0.128699, max: 0.639246, min: -0.616084
gen_deconv2 - mean: -0.001544, std: 0.072626, max: 0.466924, min: -0.456577
gen_deconv1 - mean: -0.014970, std: 0.133146, max: 0.611885, min: -0.623712
gen_deconv2 - mean: -0.001585, std: 0.076553, max: 0.478481, min: -0.482517
gen_deconv1 - mean: -0.016631, std: 0.137093, max: 0.651825, min: -0.681017
gen_deconv2 - mean: -0.001587, std: 0.080430, max: 0.519904, min: -0.498479
gen_deconv1 - mean: -0.018333, std: 0.141587, max: 0.635193, min: -0.672042
gen_deconv2 - mean: -0.001690, std: 0.084903, max: 0.527708, min: -0.564023
gen_deconv1 - mean: -0.019965, std: 0.146258, max: 0.643184, min: -0.687073
gen_deconv2 - mean: -0.001877, std: 0.089173, max: 0.544152, min: -0.530998
gen_deconv1 - mean: -0.021591, std: 0.151859, max: 0.680405, min: -0.735221
gen_deconv2 - mean: -0.002137, std: 0.093705, max: 0.577048, min: -0.575238
gen_deconv1 - mean: -0.022356, std: 0.155037, max: 0.724952, min: -0.754638
gen_deconv2 - mean: -0.002264, std: 0.096725, max: 0.616961, min: -0.554154
gen_deconv1 - mean: -0.023032, std: 0.158811, max: 0.718047, min: -0.761313
gen_deconv2 - mean: -0.002425, std: 0.099796, max: 0.606557, min: -0.579782
gen_deconv1 - mean: -0.023781, std: 0.161977, max: 0.813161, min: -0.801400
gen_deconv2 - mean: -0.002648, std: 0.102035, max: 0.603076, min: -0.587831
gen_deconv1 - mean: -0.024426, std: 0.165045, max: 0.716460, min: -0.813853
gen_deconv2 - mean: -0.002878, std: 0.104121, max: 0.627171, min: -0.618707
gen_deconv1 - mean: -0.024633, std: 0.167097, max: 0.753268, min: -0.856810
gen_deconv2 - mean: -0.003026, std: 0.106365, max: 0.661572, min: -0.587253
gen_deconv1 - mean: -0.025038, std: 0.171200, max: 0.792532, min: -0.850475
gen_deconv2 - mean: -0.003110, std: 0.109599, max: 0.738393, min: -0.604527
gen_deconv1 - mean: -0.025246, std: 0.176936, max: 0.767083, min: -0.881518
gen_deconv2 - mean: -0.003292, std: 0.113707, max: 0.762341, min: -0.610142
gen_deconv1 - mean: -0.024700, std: 0.177457, max: 0.757914, min: -0.874236
gen_deconv2 - mean: -0.003278, std: 0.115213, max: 0.757020, min: -0.645890
