[2025-04-12 12:58:33] Epoch 0: D Loss: 0.6241, G Loss: 0.9540, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 12:59:41] Epoch 1000: D Loss: 0.6945, G Loss: 0.6402, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 13:00:46] Epoch 2000: D Loss: 0.6956, G Loss: 0.6940, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 13:01:50] Epoch 3000: D Loss: 0.6964, G Loss: 0.7125, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 13:02:53] Epoch 4000: D Loss: 0.6944, G Loss: 0.7110, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 13:03:58] Epoch 5000: D Loss: 0.6922, G Loss: 0.7079, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 13:05:02] Epoch 6000: D Loss: 0.6942, G Loss: 0.7085, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 13:06:06] Epoch 7000: D Loss: 0.6980, G Loss: 0.7081, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 13:07:10] Epoch 8000: D Loss: 0.6918, G Loss: 0.7005, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 13:08:13] Epoch 9000: D Loss: 0.6943, G Loss: 0.7023, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 19:48:26] Epoch 0: D Loss: 0.7628, G Loss: 0.7473, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 19:49:26] Epoch 1000: D Loss: 0.7815, G Loss: 0.5036, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 19:50:24] Epoch 2000: D Loss: 0.6885, G Loss: 0.5416, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 19:51:23] Epoch 3000: D Loss: 0.7123, G Loss: 0.6374, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 19:52:21] Epoch 4000: D Loss: 0.7446, G Loss: 0.6448, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 19:53:19] Epoch 5000: D Loss: 0.7274, G Loss: 0.6725, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 19:54:18] Epoch 6000: D Loss: 0.7137, G Loss: 0.6494, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 19:55:16] Epoch 7000: D Loss: 0.7178, G Loss: 0.6726, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 19:56:15] Epoch 8000: D Loss: 0.6747, G Loss: 0.6891, Real Acc: 0.00%, Fake Acc: 0.00%
[2025-04-12 19:57:13] Epoch 9000: D Loss: 0.7083, G Loss: 0.6825, Real Acc: 0.00%, Fake Acc: 0.00%
